[2024-10-28 18:50:41] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:50:51] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:51:01] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:51:11] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:51:21] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:51:31] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:51:41] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:51:51] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:52:01] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:52:11] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:52:21] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:52:31] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 19:07:25] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
